Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,#Pl,Age,Poss,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Sh,SoT,Sot%,Sh/90,Sot/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp Total,Att Total,Cmp% Total,TotDist Total,PrgDist Total,Cmp Short,Att Short,Cmp% Short,Cmp Medium,Att Medium,Cmp% Medium,Cmp Long,Att Long,Cmp% Long,xA,A-xAG,KP,1/3,PPA,CrsPA,Min_dup,GA90,SoTA,SAVES,Save% Performance,CS,CS%,PKA,PKsv,PKm,Save% Penalty,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3_dup,CPA,Mis,Dis,Rec,PrgR,Tkl,TklW,Def 3rd_dup,Mid 3rd_dup,Att 3rd_dup,Tkl.1,Att_dup,Tkl%,Lost,Blocks,Sh_dup,Pass,Int,Tkl+Int,Clr,Err
Alavés,38,10,12,16,38,48,-10,42,1.11,42.8,47.0,-4.2,-0.11,"17,318",29,26.6,45.3,418,"3,420",38,20,58,29,9,11,107,5,34.1,25.4,59.5,449,1160,1.0,0.53,1.53,0.76,1.29,1.13,0.67,1.79,0.9,1.57,393,123,31.3,10.34,3.24,0.07,0.24,17.8,10,0.09,-4.8,-5.1,10534,14746,71.4,199550,84871,4546,5494,82.7,4441,5542,80.1,1312,2838,46.2,25.9,-5.4,284,963,229,99,"3,419",1.26,132,86,72.0,9,23.7,11,0,0,0.0,19070,1876,5802,8634,4809,691,19059,478,185,38.7,245,51.3,9128,45578,22946,346,90,598,307,10419,1148,737,459,346,307,84,348,726,47.9,378,382,96,286,309,1046,918,10
Athletic Club,38,19,13,6,54,29,25,70,1.84,53.0,37.8,15.2,0.4,"48,420",31,26.9,48.4,418,"3,420",53,40,93,50,3,6,64,3,48.2,36.7,84.9,682,1579,1.39,1.05,2.45,1.32,2.37,1.39,0.97,2.36,1.27,2.23,462,148,32.0,12.16,3.89,0.11,0.34,17.4,8,0.11,0.0,1.8,13665,17375,78.6,253362,90647,5552,6396,86.8,6520,7522,86.7,1395,2733,51.0,33.1,3.3,351,1283,274,90,"3,417",0.76,113,83,77.0,15,39.5,3,2,0,40.0,21761,1884,6255,10334,5382,760,21755,791,328,41.5,388,49.1,11368,61421,32773,444,188,597,401,13522,1561,577,345,240,252,85,296,579,51.1,283,353,72,281,344,921,911,25
Atlético Madrid,38,22,10,6,68,30,38,76,2.0,64.6,33.4,31.2,0.82,"60,883",24,28.4,52.6,418,"3,420",68,51,119,62,6,7,75,3,59.3,47.9,107.2,760,1559,1.79,1.34,3.13,1.63,2.97,1.7,1.26,2.96,1.56,2.82,463,174,37.6,12.18,4.58,0.13,0.36,17.0,13,0.13,3.4,2.7,17826,21418,83.2,295213,100382,8814,9752,90.4,6993,7984,87.6,1486,2519,59.0,45.3,3.1,348,1233,365,96,"3,420",0.79,116,88,78.4,17,44.7,5,0,0,0.0,25387,2335,8013,11493,6074,860,25380,639,276,43.2,305,47.7,15829,77524,41305,579,167,541,275,17707,1553,619,375,305,238,76,319,627,50.9,308,358,97,261,260,879,818,25
Barcelona,38,28,4,6,102,39,63,88,2.32,91.5,41.9,49.5,1.3,"45,953",28,24.7,68.3,418,"3,420",99,72,171,92,7,8,63,3,85.2,67.5,152.7,860,2212,2.61,1.89,4.5,2.42,4.32,2.41,1.78,4.18,2.24,4.02,670,240,35.8,17.63,6.32,0.14,0.38,17.1,27,0.13,7.5,6.8,22321,25721,86.8,371914,116385,10452,11341,92.2,9674,10643,90.9,1577,2424,65.1,64.7,4.5,500,2020,479,77,"3,420",1.03,108,69,67.6,13,34.2,4,0,0,0.0,29805,1857,6516,14966,8535,1208,29797,909,455,50.1,375,41.3,18077,92092,49435,667,238,579,316,22187,2201,538,332,186,245,107,271,520,52.1,249,329,60,269,227,765,601,14
Betis,38,16,12,10,57,50,7,60,1.58,54.7,50.6,4.1,0.11,"51,542",36,27.5,52.4,418,"3,420",55,37,92,48,7,10,75,4,46.9,37.5,84.5,679,1486,1.45,0.97,2.42,1.26,2.24,1.44,0.99,2.43,1.23,2.22,518,176,34.0,13.63,4.63,0.09,0.27,18.1,14,0.09,0.3,1.1,15770,19284,81.8,264738,91436,7583,8423,90.0,6318,7291,86.7,1341,2443,54.9,34.8,-0.5,417,1127,329,75,"3,420",1.32,141,92,67.4,7,18.4,4,0,0,0.0,23872,2253,7466,10545,6088,921,23862,722,312,43.2,344,47.6,13910,69976,36269,532,228,676,378,15627,1468,645,397,271,273,101,342,644,53.1,302,406,113,293,356,1001,910,19
Celta Vigo,38,16,7,15,59,57,2,55,1.45,54.2,43.4,10.9,0.29,"21,504",30,26.8,53.6,418,"3,420",58,40,98,50,8,9,84,6,47.3,38.4,85.7,709,1659,1.53,1.05,2.58,1.32,2.37,1.43,1.01,2.44,1.24,2.26,442,167,37.8,11.63,4.39,0.11,0.3,17.9,19,0.11,3.8,2.7,17798,21253,83.7,312877,104182,7549,8367,90.2,8368,9325,89.7,1480,2521,58.7,36.9,1.6,339,1424,300,53,"3,420",1.5,145,89,62.8,8,21.1,3,1,0,25.0,25123,2232,7618,12133,5574,831,25114,628,254,40.4,312,49.7,15010,75647,39392,500,218,558,296,17691,1649,555,340,258,217,80,286,576,49.7,290,345,91,254,282,837,828,30
Espanyol,38,11,9,18,40,51,-11,42,1.11,34.4,53.8,-19.4,-0.51,"25,640",27,25.2,39.8,418,"3,420",38,27,65,33,5,5,88,1,30.5,24.5,55.0,497,1000,1.0,0.71,1.71,0.87,1.58,0.91,0.65,1.55,0.8,1.45,351,98,27.9,9.24,2.58,0.09,0.34,18.4,15,0.09,3.6,2.5,10580,13996,75.6,199624,80026,4245,4942,85.9,4814,5678,84.8,1297,2629,49.3,23.4,2.5,256,772,204,81,"3,420",1.34,192,140,75.5,8,21.1,4,2,0,33.3,18406,2655,7408,7625,3582,548,18401,546,221,40.5,266,48.7,9361,52875,28280,359,109,561,241,10490,991,640,397,380,210,50,310,610,50.8,300,435,155,280,315,955,1131,21
Getafe,38,11,9,18,34,39,-5,42,1.11,36.8,46.2,-9.4,-0.25,"11,469",30,27.7,41.8,418,"3,420",34,21,55,29,5,5,110,7,33.0,23.9,56.9,368,981,0.89,0.55,1.45,0.76,1.32,0.97,0.63,1.6,0.87,1.5,430,122,28.4,11.32,3.21,0.07,0.24,19.4,17,0.08,-2.8,-4.0,8695,12922,67.3,169125,74933,3711,4579,81.0,3515,4628,76.0,1250,2951,42.4,23.8,-2.9,296,958,226,104,"3,420",1.03,126,86,75.4,9,23.7,8,1,0,11.1,17605,1770,5183,7998,4646,675,17600,631,265,42.0,312,49.4,7825,40262,19034,311,105,719,357,8611,966,645,393,287,278,80,333,665,50.1,332,411,84,327,276,921,1065,15
Girona,38,11,8,19,44,60,-16,41,1.08,42.5,50.4,-8.0,-0.21,"11,657",30,27.5,56.3,418,"3,420",43,31,74,39,4,5,76,2,38.6,31.6,70.2,765,1691,1.13,0.82,1.95,1.03,1.84,1.12,0.83,1.95,1.02,1.85,397,134,33.8,10.45,3.53,0.1,0.29,17.7,13,0.1,0.5,0.4,18273,21401,85.4,322614,100730,8002,8697,92.0,8458,9319,90.8,1526,2565,59.5,37.4,-0.6,308,1494,302,87,"3,420",1.58,164,102,65.2,8,21.1,3,3,0,50.0,25088,2516,7829,11533,5912,795,25083,634,291,45.9,276,43.5,15275,86324,44108,553,180,522,312,18040,1684,569,348,268,219,82,292,557,52.4,265,327,104,223,279,848,722,34
Las Palmas,38,8,8,22,40,61,-21,32,0.84,36.3,66.8,-30.5,-0.8,"23,010",34,26.8,50.7,418,"3,420",38,27,65,35,3,4,110,4,33.2,26.3,59.4,499,1210,1.0,0.71,1.71,0.92,1.63,0.96,0.69,1.65,0.87,1.56,409,134,32.8,10.76,3.53,0.09,0.26,19.2,21,0.08,1.7,1.8,14352,18209,78.8,254010,92291,6396,7255,88.2,6214,7269,85.5,1395,2776,50.3,26.5,0.7,304,1059,246,79,"3,420",1.61,182,120,69.2,4,10.5,5,4,1,44.4,22497,2561,7809,10353,4511,669,22493,571,239,41.9,288,50.4,11365,56979,28603,346,113,547,275,14222,1197,619,370,308,253,58,307,592,51.9,285,434,139,295,321,940,971,28
Leganés,38,9,13,16,39,56,-17,40,1.05,36.0,59.4,-23.4,-0.62,"11,135",26,27.8,42.6,418,"3,420",38,27,65,33,5,7,82,6,30.6,23.3,53.8,417,1030,1.0,0.71,1.71,0.87,1.58,0.95,0.61,1.56,0.8,1.42,345,110,31.9,9.08,2.89,0.1,0.3,20.1,19,0.09,2.0,2.4,11207,14840,75.5,201808,76373,5038,5734,87.9,4716,5600,84.2,1169,2735,42.7,21.8,3.7,241,796,187,45,"3,420",1.47,175,122,72.0,11,28.9,7,0,1,0.0,19312,2448,7029,8720,3764,482,19305,627,302,48.2,263,41.9,9782,47776,24033,364,105,575,314,11128,1023,633,384,301,250,82,295,599,49.2,304,436,157,279,332,965,1201,18
Mallorca,38,13,9,16,35,44,-9,48,1.26,38.8,46.8,-8.1,-0.21,"18,502",28,28.7,46.8,418,"3,420",34,24,58,30,4,5,81,6,34.9,26.5,61.3,479,1184,0.89,0.63,1.53,0.79,1.42,1.02,0.7,1.72,0.92,1.61,382,107,28.0,10.05,2.82,0.08,0.28,16.3,7,0.09,-4.8,-4.9,12613,16224,77.7,232365,90368,5538,6293,88.0,5349,6310,84.8,1466,2803,52.3,28.3,-2.5,282,973,239,112,"3,420",1.16,165,122,75.2,9,23.7,3,0,0,0.0,20649,2598,7168,9299,4391,635,20644,583,255,43.7,260,44.6,10945,56532,26760,409,85,567,377,12481,1169,584,361,305,211,68,257,500,51.4,243,389,153,236,326,910,1161,17
Osasuna,38,12,16,10,48,52,-4,52,1.37,44.0,53.7,-9.7,-0.25,"20,476",25,27.4,46.1,418,"3,420",46,28,74,37,9,9,88,0,37.8,29.8,67.6,567,1221,1.21,0.74,1.95,0.97,1.71,1.16,0.78,1.94,0.99,1.78,409,123,30.1,10.76,3.24,0.09,0.3,16.7,9,0.09,2.0,-0.8,12184,16028,76.0,230479,92624,5022,5858,85.7,5403,6487,83.3,1489,2835,52.5,33.4,-1.8,300,963,265,127,"3,420",1.37,187,136,75.9,9,23.7,7,0,0,0.0,20036,2263,6318,8904,5007,737,20027,592,260,43.9,279,47.1,10439,54365,27022,424,134,532,293,12053,1204,614,365,296,239,79,311,618,50.3,307,388,102,286,266,880,918,16
Rayo Vallecano,38,13,13,12,41,45,-4,52,1.37,45.4,49.0,-3.5,-0.09,"12,908",26,29.3,51.7,418,"3,420",38,27,65,38,0,1,96,3,44.6,36.2,80.9,589,1362,1.0,0.71,1.71,1.0,1.71,1.2,0.95,2.15,1.17,2.13,514,162,31.5,13.53,4.26,0.07,0.23,19.3,25,0.09,-7.4,-6.6,13936,17861,78.0,247359,94801,6459,7310,88.4,5793,6748,85.8,1401,2920,48.0,32.2,-9.2,374,1081,242,85,"3,420",1.18,153,107,74.5,10,26.3,6,2,0,25.0,22372,2557,7799,9339,5455,711,22371,647,286,44.2,304,47.0,12068,58402,29156,431,143,630,327,13833,1346,626,396,328,218,80,309,664,46.5,355,443,128,315,334,960,973,22
Real Madrid,38,26,6,6,78,38,40,84,2.21,75.3,42.8,32.5,0.86,"69,807",30,26.6,60.4,418,"3,420",78,55,133,68,10,14,57,4,64.5,54.6,119.0,983,1967,2.05,1.45,3.5,1.79,3.24,1.98,1.44,3.42,1.7,3.13,621,229,36.9,16.34,6.03,0.11,0.3,18.1,15,0.11,2.7,3.5,21356,24221,88.2,356264,110503,10517,11248,93.5,8566,9311,92.0,1723,2595,66.4,52.2,0.4,501,1773,359,34,"3,420",1.0,126,89,72.2,15,39.5,3,0,0,0.0,28252,2392,7662,12794,8048,1181,28238,878,412,46.9,384,43.7,17893,93355,50356,696,364,528,290,21223,1953,586,359,294,209,83,264,486,54.3,222,353,105,248,331,917,633,19
Real Sociedad,38,13,7,18,35,46,-11,46,1.21,42.5,43.9,-1.5,-0.04,"29,877",31,25.2,53.8,418,"3,420",34,22,56,30,4,4,85,4,39.3,30.9,70.3,645,1341,0.89,0.58,1.47,0.79,1.37,1.12,0.81,1.93,1.03,1.85,385,122,31.7,10.13,3.21,0.08,0.25,17.5,10,0.1,-8.5,-9.3,14880,18759,79.3,261975,89905,6750,7619,88.6,6360,7434,85.6,1421,2687,52.9,30.7,-8.9,284,1087,242,64,"3,420",1.21,142,94,71.1,13,34.2,5,2,0,28.6,23027,2275,7208,10770,5243,747,23023,659,295,44.8,307,46.6,12533,67115,34084,417,163,603,297,14716,1325,649,401,309,244,96,308,579,53.2,271,428,120,308,283,932,913,21
Sevilla,38,10,11,17,42,55,-13,41,1.08,42.7,47.4,-4.7,-0.12,"35,619",35,26.1,50.5,418,"3,420",39,32,71,37,2,3,98,8,40.3,30.8,71.1,594,1193,1.03,0.84,1.87,0.97,1.82,1.12,0.81,1.93,1.06,1.87,472,148,31.4,12.42,3.89,0.08,0.25,18.8,14,0.09,-3.7,-3.3,14432,18057,79.9,252909,88471,6743,7466,90.3,6146,7086,86.7,1267,2706,46.8,24.4,1.2,357,1072,210,60,"3,420",1.45,148,93,66.2,10,26.3,5,1,0,16.7,22465,2404,8057,9800,4813,669,22462,720,339,47.1,320,44.4,11147,58366,29786,397,161,624,331,14288,1186,648,390,321,240,87,312,563,55.4,251,368,88,280,367,1015,931,17
Valencia,38,11,13,14,44,54,-10,46,1.21,43.3,51.9,-8.6,-0.23,"43,042",32,24.7,48.4,418,"3,420",43,26,69,38,5,5,86,1,39.3,30.0,69.3,572,1340,1.13,0.68,1.82,1.0,1.68,1.14,0.79,1.93,1.03,1.82,383,116,30.3,10.08,3.05,0.1,0.33,17.2,6,0.11,-0.3,-1.3,13938,17708,78.7,246799,86682,6341,7094,89.4,6081,7066,86.1,1284,2634,48.7,33.4,-4.0,284,1109,254,91,"3,420",1.42,148,95,67.6,8,21.1,6,2,1,25.0,21876,2290,7206,9840,5033,653,21871,625,236,37.8,321,51.4,11347,59375,30877,414,122,534,340,13802,1328,647,415,340,228,79,321,573,56.0,252,366,96,270,302,949,953,19
Valladolid,38,4,4,30,26,90,-64,16,0.42,34.6,67.6,-33.0,-0.87,"19,831",38,25.6,42.8,418,"3,420",26,15,41,21,5,5,91,5,30.7,25.7,56.4,476,991,0.68,0.39,1.08,0.55,0.95,0.91,0.68,1.59,0.81,1.48,331,97,29.3,8.71,2.55,0.06,0.22,18.0,11,0.09,-8.6,-9.7,12052,15387,78.3,228419,83632,4795,5456,87.9,5607,6494,86.3,1410,2699,52.2,24.3,-10.7,256,752,176,93,"3,420",2.37,204,115,59.3,5,13.2,7,0,0,0.0,19507,2681,8158,8153,3393,523,19502,624,289,46.3,266,42.6,9680,54312,27524,316,120,513,268,11933,976,596,357,342,204,50,276,566,48.8,290,450,160,290,311,907,944,29
Villarreal,38,20,10,8,71,51,20,70,1.84,64.8,44.4,20.4,0.54,"18,266",31,26.7,47.6,418,"3,420",69,51,120,64,5,7,96,4,59.1,49.7,108.8,693,1522,1.82,1.34,3.16,1.68,3.03,1.71,1.31,3.01,1.56,2.86,530,171,32.3,13.95,4.5,0.12,0.37,16.0,9,0.12,4.2,4.9,14532,17825,81.5,262800,96388,6234,6978,89.3,6564,7485,87.7,1463,2559,57.2,48.0,1.3,427,1146,371,102,"3,420",1.34,160,110,72.5,7,18.4,7,0,1,0.0,22112,2612,7831,9120,5352,983,22105,627,279,44.5,278,44.3,12034,63384,34540,503,202,560,289,14383,1510,649,396,333,236,80,336,628,53.5,292,426,131,295,281,930,922,21
